filename,exchange,ticker,instrument,resolution,start_date,end_date,n_rows,years
FOREXCOM_EURCHF_4H_20230104_20260325.csv,FOREXCOM,EURCHF,FOREXCOM_EURCHF,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_EURGBP_1D_20061228_20260324.csv,FOREXCOM,EURGBP,FOREXCOM_EURGBP,1D,2006-12-28,2026-03-24,5000,19.2
FOREXCOM_EURGBP_1H_20250604_20260325.csv,FOREXCOM,EURGBP,FOREXCOM_EURGBP,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_EURGBP_1W_20060101_20260322.csv,FOREXCOM,EURGBP,FOREXCOM_EURGBP,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_EURGBP_4H_20230104_20260325.csv,FOREXCOM,EURGBP,FOREXCOM_EURGBP,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_EURJPY_1D_20061228_20260324.csv,FOREXCOM,EURJPY,FOREXCOM_EURJPY,1D,2006-12-28,2026-03-24,5000,19.2
FOREXCOM_EURJPY_1H_20250604_20260325.csv,FOREXCOM,EURJPY,FOREXCOM_EURJPY,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_EURJPY_1W_20060101_20260322.csv,FOREXCOM,EURJPY,FOREXCOM_EURJPY,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_EURJPY_4H_20230104_20260325.csv,FOREXCOM,EURJPY,FOREXCOM_EURJPY,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_EURUSD_1D_20061231_20260324.csv,FOREXCOM,EURUSD,FOREXCOM_EURUSD,1D,2006-12-31,2026-03-24,5000,19.2
FOREXCOM_EURUSD_1H_20250604_20260325.csv,FOREXCOM,EURUSD,FOREXCOM_EURUSD,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_EURUSD_1W_20060101_20260322.csv,FOREXCOM,EURUSD,FOREXCOM_EURUSD,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_EURUSD_4H_20230105_20260325.csv,FOREXCOM,EURUSD,FOREXCOM_EURUSD,4H,2023-01-05,2026-03-25,5000,3.2
FOREXCOM_GBPJPY_1D_20061228_20260324.csv,FOREXCOM,GBPJPY,FOREXCOM_GBPJPY,1D,2006-12-28,2026-03-24,5000,19.2
FOREXCOM_GBPJPY_1H_20250604_20260325.csv,FOREXCOM,GBPJPY,FOREXCOM_GBPJPY,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_GBPJPY_1W_20060101_20260322.csv,FOREXCOM,GBPJPY,FOREXCOM_GBPJPY,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_GBPJPY_4H_20230104_20260325.csv,FOREXCOM,GBPJPY,FOREXCOM_GBPJPY,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_GBPUSD_1D_20061227_20260324.csv,FOREXCOM,GBPUSD,FOREXCOM_GBPUSD,1D,2006-12-27,2026-03-24,5000,19.2
FOREXCOM_GBPUSD_1H_20250604_20260325.csv,FOREXCOM,GBPUSD,FOREXCOM_GBPUSD,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_GBPUSD_1W_20060101_20260322.csv,FOREXCOM,GBPUSD,FOREXCOM_GBPUSD,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_GBPUSD_4H_20230104_20260325.csv,FOREXCOM,GBPUSD,FOREXCOM_GBPUSD,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_GER40_1D_20081209_20260324.csv,FOREXCOM,GER40,FOREXCOM_GER40,1D,2008-12-09,2026-03-24,4469,17.3
FOREXCOM_GER40_1H_20250529_20260325.csv,FOREXCOM,GER40,FOREXCOM_GER40,1H,2025-05-29,2026-03-25,5000,0.8
FOREXCOM_GER40_1W_20081207_20260322.csv,FOREXCOM,GER40,FOREXCOM_GER40,1W,2008-12-07,2026-03-22,903,17.3
FOREXCOM_GER40_4H_20221230_20260325.csv,FOREXCOM,GER40,FOREXCOM_GER40,4H,2022-12-30,2026-03-25,5000,3.2
FOREXCOM_NZDUSD_1D_20061227_20260324.csv,FOREXCOM,NZDUSD,FOREXCOM_NZDUSD,1D,2006-12-27,2026-03-24,5000,19.2
FOREXCOM_NZDUSD_1H_20250604_20260325.csv,FOREXCOM,NZDUSD,FOREXCOM_NZDUSD,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_NZDUSD_1W_20060101_20260322.csv,FOREXCOM,NZDUSD,FOREXCOM_NZDUSD,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_NZDUSD_4H_20230104_20260325.csv,FOREXCOM,NZDUSD,FOREXCOM_NZDUSD,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_UK100_1D_20081209_20260324.csv,FOREXCOM,UK100,FOREXCOM_UK100,1D,2008-12-09,2026-03-24,4476,17.3
FOREXCOM_UK100_1H_20250527_20260325.csv,FOREXCOM,UK100,FOREXCOM_UK100,1H,2025-05-27,2026-03-25,5000,0.8
FOREXCOM_UK100_1W_20081207_20260322.csv,FOREXCOM,UK100,FOREXCOM_UK100,1W,2008-12-07,2026-03-22,903,17.3
FOREXCOM_UK100_4H_20221229_20260325.csv,FOREXCOM,UK100,FOREXCOM_UK100,4H,2022-12-29,2026-03-25,5000,3.2
FOREXCOM_UKOIL_1D_20181130_20260325.csv,FOREXCOM,UKOIL,FOREXCOM_UKOIL,1D,2018-11-30,2026-03-25,1890,7.3
FOREXCOM_UKOIL_1H_20250506_20260325.csv,FOREXCOM,UKOIL,FOREXCOM_UKOIL,1H,2025-05-06,2026-03-25,5000,0.9
FOREXCOM_UKOIL_1W_20181125_20260322.csv,FOREXCOM,UKOIL,FOREXCOM_UKOIL,1W,2018-11-25,2026-03-22,383,7.3
FOREXCOM_UKOIL_4H_20221221_20260325.csv,FOREXCOM,UKOIL,FOREXCOM_UKOIL,4H,2022-12-21,2026-03-25,5000,3.3
FOREXCOM_USDCAD_1D_20061130_20260324.csv,FOREXCOM,USDCAD,FOREXCOM_USDCAD,1D,2006-11-30,2026-03-24,5000,19.3
FOREXCOM_USDCAD_1H_20250604_20260325.csv,FOREXCOM,USDCAD,FOREXCOM_USDCAD,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_USDCAD_1W_20060101_20260322.csv,FOREXCOM,USDCAD,FOREXCOM_USDCAD,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_USDCAD_4H_20230104_20260325.csv,FOREXCOM,USDCAD,FOREXCOM_USDCAD,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_USDCHF_1D_20061227_20260324.csv,FOREXCOM,USDCHF,FOREXCOM_USDCHF,1D,2006-12-27,2026-03-24,5000,19.2
FOREXCOM_USDCHF_1H_20250604_20260325.csv,FOREXCOM,USDCHF,FOREXCOM_USDCHF,1H,2025-06-04,2026-03-25,5000,0.8
FOREXCOM_USDCHF_1W_20060101_20260322.csv,FOREXCOM,USDCHF,FOREXCOM_USDCHF,1W,2006-01-01,2026-03-22,1056,20.2
FOREXCOM_USDCHF_4H_20230104_20260325.csv,FOREXCOM,USDCHF,FOREXCOM_USDCHF,4H,2023-01-04,2026-03-25,5000,3.2
FOREXCOM_USDJPY_1D_20070104_20260324.csv,FOREXCOM,USDJPY,FOREXCOM_USDJPY,1D,2007-01-04,2026-03-24,5000,19.2
