time,open,high,low,close,volume
2023-05-12 15:30:00,110.74,110.78,109.9,110.05,687199.0
2023-05-12 16:30:00,110.035,110.295,109.32,110.025,915536.0
2023-05-12 17:30:00,110.02,110.17,109.45,109.58,673786.0
2023-05-12 18:30:00,109.58,110.04,109.57,109.83,770422.0
2023-05-12 19:30:00,109.83,110.39,109.69,110.26,949846.0
2023-05-15 13:30:00,111.15,112.28,109.25,109.81,1887585.0
2023-05-15 14:30:00,109.8,110.66,109.64,110.53,974271.0
2023-05-15 15:30:00,110.52,110.71,109.99,110.03,638361.0
2023-05-15 16:30:00,110.02,110.71,109.99,110.54,602119.0
2023-05-15 17:30:00,110.54,111.33,110.34,111.29,634930.0
2023-05-15 18:30:00,111.29,111.45,110.99,111.03,453310.0
2023-05-15 19:30:00,111.025,111.26,110.84,111.24,641195.0
2023-05-16 13:30:00,111.15,113.28,111.05,113.26,1917358.0
2023-05-16 14:30:00,113.26,114.05,112.86,113.59,1252584.0
2023-05-16 15:30:00,113.595,114.49,113.28,114.49,1363126.0
2023-05-16 16:30:00,114.48,114.79,114.1,114.19,981926.0
2023-05-16 17:30:00,114.2,114.475,113.81,114.04,803289.0
2023-05-16 18:30:00,114.04,114.32,113.65,114.08,861866.0
2023-05-16 19:30:00,114.07,114.09,113.22,113.41,940212.0
2023-05-17 13:30:00,114.88,115.84,114.54,114.64,2656327.0
2023-05-17 14:30:00,114.65,115.455,114.51,114.95,1161405.0
2023-05-17 15:30:00,114.95,115.12,114.23,114.42,720775.0
2023-05-17 16:30:00,114.42,115.48,114.42,115.4,699104.0
2023-05-17 17:30:00,115.395,115.61,115.01,115.5,782959.0
2023-05-17 18:30:00,115.5,115.7,115.12,115.36,884337.0
2023-05-17 19:30:00,115.36,115.705,115.35,115.47,845419.0
2023-05-18 13:30:00,116.72,118.42,116.39,118.395,2336789.0
2023-05-18 14:30:00,118.4,118.6,117.38,117.73,1475829.0
2023-05-18 15:30:00,117.725,118.05,116.78,116.91,1134243.0
2023-05-18 16:30:00,116.895,117.75,116.86,117.3,853652.0
2023-05-18 17:30:00,117.32,117.49,116.34,117.0,940369.0
2023-05-18 18:30:00,117.0,117.49,116.89,117.475,868261.0
2023-05-18 19:30:00,117.49,118.24,117.47,118.15,1213452.0
