time,open,high,low,close,volume
2008-12-07 22:00:00,4333.0,4403.5,4164.5,4305.5,0.0
2008-12-14 22:00:00,4257.0,4398.5,4174.5,4242.0,0.0
2008-12-21 22:00:00,4219.0,4290.0,4160.0,4191.5,0.0
2008-12-28 22:00:00,4303.5,4598.5,4191.5,4578.0,0.0
2009-01-04 22:00:00,4550.0,4648.5,4376.0,4403.5,0.0
2009-01-11 22:00:00,4359.5,4442.5,4051.0,4142.0,0.0
2009-01-18 22:00:00,4076.5,4220.5,3916.0,4040.0,0.0
2009-01-25 22:00:00,4109.0,4295.5,3994.0,4090.0,0.0
2009-02-01 22:00:00,4043.0,4312.5,3994.0,4290.5,0.0
2009-02-08 22:00:00,4283.5,4309.5,4103.5,4133.0,0.0
2009-02-15 22:00:00,4103.0,4162.0,3820.0,3880.5,0.0
2009-02-22 22:00:00,3760.0,3944.5,3739.5,3776.0,0.0
2009-03-01 22:00:00,3576.5,3776.0,3455.5,3535.5,0.0
2009-03-08 21:00:00,3477.5,3765.5,3442.5,3743.5,0.0
2009-03-15 21:00:00,3771.0,3879.5,3722.0,3741.5,0.0
2009-03-22 21:00:00,3973.5,3979.0,3741.5,3840.0,0.0
2009-03-29 21:00:00,3724.5,4118.5,3697.5,4038.5,0.0
2009-04-05 21:00:00,3970.0,4053.5,3827.0,3968.5,0.0
2009-04-12 21:00:00,3968.5,4076.5,3890.0,4055.0,0.0
2009-04-19 21:00:00,3918.0,4131.5,3844.5,4114.0,0.0
2009-04-26 21:00:00,4097.0,4255.5,4011.5,4211.0,0.0
2009-05-03 21:00:00,4211.0,4495.5,4211.0,4465.5,0.0
2009-05-10 21:00:00,4389.5,4465.5,4271.0,4302.0,0.0
2009-05-17 21:00:00,4446.5,4491.0,4279.0,4323.0,0.0
2009-05-24 21:00:00,4323.0,4454.5,4273.5,4435.0,0.0
2009-05-31 21:00:00,4473.0,4504.0,4348.0,4420.0,0.0
2009-06-07 21:00:00,4430.0,4471.0,4359.5,4425.5,0.0
2009-06-14 21:00:00,4313.0,4425.5,4203.5,4304.0,0.0
2009-06-21 21:00:00,4181.5,4320.0,4178.0,4208.0,0.0
2009-06-28 21:00:00,4249.5,4325.5,4175.0,4212.5,0.0
2009-07-05 21:00:00,4198.0,4212.5,4083.5,4115.5,0.0
2009-07-12 21:00:00,4188.5,4389.5,4060.0,4366.0,0.0
2009-07-19 21:00:00,4429.0,4576.0,4359.5,4573.0,0.0
2009-07-26 21:00:00,4569.0,4619.0,4483.5,4566.5,0.0
2009-08-02 21:00:00,4654.0,4723.5,4562.5,4699.0,0.0
2009-08-09 21:00:00,4696.0,4777.5,4617.5,4729.5,0.0
2009-08-16 21:00:00,4632.0,4867.5,4593.5,4856.0,0.0
2009-08-23 21:00:00,4861.0,4940.5,4848.5,4916.0,0.0
2009-08-30 21:00:00,4916.0,4916.0,4772.0,4884.5,0.0
2009-09-06 21:00:00,4933.5,5012.0,4880.5,4967.0,0.0
2009-09-13 21:00:00,5000.5,5167.5,4921.5,5161.5,0.0
